acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Battery Level,Timestamp,Temperature,Step,Calorie,Action,Device
0.13781610300595387,0.010318354,0.8216802060740456,4.1354742833366185,4.303603521773736,-4.545866248,79.95,12/17/2025 22:30,37.06,1,3.33,Walking,EMA03
0.1643169996446442,-0.103822124,1.0266843264021333,-3.484813345,0.45330734761899283,3.5639798851085516,79.86,12/17/2025 22:31,36.45,4,7.07,Walking,EMA03
0.11261210685258083,0.051456021602946767,0.7097571358844085,-0.544338361,4.680308919,0.1685291719562132,79.76,12/17/2025 22:32,36.93,7,10.65,Walking,EMA03
-0.156870662,-0.087484637,1.281223972,-1.380235057,2.5086429529107024,-2.010326967,79.67,12/17/2025 22:33,36.18,9,11.85,Walking,EMA03
0.055783606,-0.03165638,1.0214660255539423,0.30064103872068504,3.8717799070646777,-1.33178967,79.57,12/17/2025 22:34,36.5,11,13.41,Walking,EMA03
-0.096926187,0.19207028064773335,1.2999242925679209,-4.09347448,0.6642123378481717,0.6841617702419311,79.5,12/17/2025 22:35,36.74,16,15.23,Walking,EMA03
0.13957641721980257,0.18199482408920842,1.1535265534246106,1.668204852620491,1.5246324104484996,0.7376674887421233,79.43,12/17/2025 22:36,36.03,18,17.52,Walking,EMA03
0.1769617564861417,0.005520843,1.249276618589962,0.45968107982779305,-2.522780265,-1.508251221,79.37,12/17/2025 22:37,36.49,22,20.82,Walking,EMA03
-0.092562485,-0.150717943,1.079785205911362,-0.874258062,-3.673614448,-2.431885802,79.29,12/17/2025 22:38,37.01,24,23.27,Walking,EMA03
-0.094476841,0.1595830099194283,0.8223080510300522,1.778230770616684,3.3158559538930437,1.4128152039931265,79.21,12/17/2025 22:39,36.11,29,25.18,Walking,EMA03
-0.124727998,-0.195072377,0.8000731437752335,1.2308232672661585,-0.290916758,1.2684306650150106,79.12,12/17/2025 22:40,37.11,34,28.79,Walking,EMA03
-0.131140941,0.007280898,1.0091422448245382,-1.037205264,-4.29025288,-4.720907616,79.05,12/17/2025 22:41,36.39,38,30.9,Walking,EMA03
0.018958964055018818,0.1338496734922729,1.0257273834215357,-1.230130125,4.051423105846174,0.19779723041222308,78.97,12/17/2025 22:42,36.98,41,32.05,Walking,EMA03
-0.056383718,0.17018587621636166,1.1096937458763743,4.567647045851059,1.9368792982268435,4.095876039854071,78.91,12/17/2025 22:43,36.23,42,33.89,Walking,EMA03
-0.194785524,0.1969982966404199,0.8902566961783543,-3.005749371,0.821508509,3.5633730956937555,78.81,12/17/2025 22:44,36.67,43,36.54,Walking,EMA03
0.16954898604195506,-0.012973657,1.0290465155992568,4.935168790378194,-1.253019125,-2.532686218,78.71,12/17/2025 22:45,36.47,47,38.32,Walking,EMA03
-0.158085907,0.007961009,0.711505654,4.036858235,-3.801664401,-1.656456769,78.65,12/17/2025 22:46,36.87,52,40.37,Walking,EMA03
0.17868657079100753,0.14016276913683207,1.2838765856039847,-1.865142137,-4.795135437,-3.250827691,78.56,12/17/2025 22:47,36.44,56,41.38,Walking,EMA03
-0.036678513,0.11987520061711116,1.005723797608118,3.8463437369331537,-4.354476542,0.4101761295904893,78.5,12/17/2025 22:48,36.54,58,43.37,Walking,EMA03
-0.016275694,-0.182125945,0.7442167892213549,-3.830342576,-0.92831521,-3.420129297,78.45,12/17/2025 22:49,36.71,62,45.89,Walking,EMA03
0.047335216,0.5570609091349136,1.1315807441597263,-9.472184576,-2.973352081,-5.25826044,78.39,12/17/2025 22:50,36.32,69,49.76,Running,EMA03
-0.326426286,0.20104341372240153,0.9301777652229172,-6.475410268,-1.547578937,-11.18333672,78.3,12/17/2025 22:51,36.8,79,51.26,Running,EMA03
-0.262090582,-0.043648441,0.7965044712130877,9.433830985417519,7.4712084258134865,2.5110914910116833,78.22,12/17/2025 22:52,36.43,85,52.66,Running,EMA03
-0.383134196,-0.385119827,0.8719301210739635,-5.587773319,7.693306845677927,2.448396978787965,78.16,12/17/2025 22:53,37.14,93,55.32,Running,EMA03
0.4523826450909242,-0.302340467,1.1171503165497505,8.278079695082756,10.307591123941332,-8.540294716,78.11,12/17/2025 22:54,37.12,102,58.2,Running,EMA03
0.13887858997968516,-0.329706734,1.1649766192088133,-9.945648794,-9.251723124,-12.51693105,78.01,12/17/2025 22:55,37,108,59.32,Running,EMA03
0.26068401831280363,0.035052048535739955,0.9567910996830677,-14.91976761,-4.579865933,-14.68804181,77.94,12/17/2025 22:56,36.59,120,62.72,Running,EMA03
-0.284948035,0.34478420962801426,1.2781074363362084,13.803486261435093,11.231991036592028,-6.50761615,77.87,12/17/2025 22:57,36.77,132,65.53,Running,EMA03
-0.111368735,-0.086878378,0.8851407872000442,6.4653979713350225,9.255049319952676,8.699707000648214,77.81,12/17/2025 22:58,36.09,144,67.22,Running,EMA03
-0.188507042,-0.08641201,0.7321930810172974,2.039912332943114,-1.041483605,-5.288428218,77.76,12/17/2025 22:59,36.08,156,68.79,Running,EMA03
-0.110300054,-0.153714663,0.9952271396713259,4.880395179990984,-8.480667595,-0.697346586,77.67,12/17/2025 23:00,37.05,167,71.35,Running,EMA03
-0.168882712,0.591271966,1.2019354226462218,5.2505589280192915,11.070813561994086,10.226296581503671,77.58,12/17/2025 23:01,36.99,176,72.35,Running,EMA03
-0.041738934,-0.56231803,1.2312787471636208,-9.013312026,-3.413933502,-1.807918562,77.49,12/17/2025 23:02,36.5,186,75.41,Running,EMA03
-0.334167577,-0.589836314,1.0241576966331187,11.799741817212752,13.31020791457058,6.860142324391521,77.39,12/17/2025 23:03,36.23,194,77.71,Running,EMA03
-0.048917011,0.5208005366678591,0.7636043405287488,14.529319809136403,-5.000677762,-7.174951189,77.31,12/17/2025 23:04,36.5,200,79.24,Running,EMA03
0.5265252489830975,-0.54871773,1.0722768588171638,14.968332695563674,-5.094113645,-6.099553244,77.22,12/17/2025 23:05,36.49,209,81.3,Running,EMA03
-0.237839608,0.3935573389601129,0.8490547005494814,6.265171075,-9.52524007,-11.79472644,77.14,12/17/2025 23:06,36.63,221,85.14,Running,EMA03
0.458920923,0.48389342007274194,1.1189353509973892,9.181772004008206,-10.85043759,-6.248757411,77.08,12/17/2025 23:07,36.33,233,86.36,Running,EMA03
-0.265418594,-0.171984229,0.8325209342805877,0.1399643396335346,13.27632724161246,11.778563238469925,77.01,12/17/2025 23:08,37.04,241,90.31,Running,EMA03
0.054117815,0.45328042665281265,1.063350684890656,-5.705818081,-5.7525002,14.221687144596473,76.96,12/17/2025 23:09,36.45,251,92.92,Running,EMA03
0.74266317,0.6651120015669871,1.2289108837881717,146.47215630858273,51.922385668959464,-72.1109472,76.87,12/17/2025 23:10,36.11,251,94.46,Falling,EMA03
-1.543615514,-0.706240859,1.5513854340443747,-37.7885557,27.55153274502908,165.88345900647477,76.78,12/17/2025 23:11,36.63,251,97.15,Falling,EMA03
0.24514303028768714,-2.25105728,1.5740448891204326,-223.1733964,182.03013326836998,234.53315597030456,76.72,12/17/2025 23:12,36.18,251,98.64,Falling,EMA03
-1.060643992,-1.622898426,1.390925724111892,-205.8544229,-138.1708127,61.497248324554334,76.66,12/17/2025 23:13,36.13,251,101.37,Falling,EMA03
-0.255275346,-0.330997743,2.564736094446113,-95.85332385,-151.7917954,124.04368567582287,76.6,12/17/2025 23:14,36.31,251,104.54,Falling,EMA03
-0.492469017,0.084334462,2.151129971355087,-43.17566788,113.37565199062317,-206.2384422,76.52,12/17/2025 23:15,36.38,251,107.66,Falling,EMA03
